,topic,received_count,message_sent
0,topic_topic1,1200,300
1,topic_topic10,5970,3000
2,topic_topic11,1800,600
3,topic_topic12,2700,900
4,topic_topic13,3594,1200
5,topic_topic14,5988,1500
6,topic_topic15,355,300
7,topic_topic16,6315,2100
8,topic_topic17,7170,2400
9,topic_topic18,5382,2700
10,topic_topic19,8958,3000
11,topic_topic2,3000,600
12,topic_topic20,355,300
13,topic_topic21,2700,900
14,topic_topic22,3594,1200
15,topic_topic23,2994,1500
16,topic_topic24,3604,1800
17,topic_topic25,4210,2100
18,topic_topic26,5212,2400
19,topic_topic27,5382,2700
20,topic_topic28,5972,3000
21,topic_topic29,600,300
22,topic_topic3,1800,900
23,topic_topic30,2700,900
24,topic_topic4,2396,1200
25,topic_topic5,3265,1500
26,topic_topic6,3604,1800
27,topic_topic7,6315,2100
28,topic_topic8,2823,2400
29,topic_topic9,8073,2700
